复合计算系统 复合计算
跨媒体索引检索 跨媒体索引
美国马萨诸塞州 美国马萨诸塞
本地化信息服务位置服务 本地化信息服务
处理自适应采样 自适应采样
非对称多核结构 对称多核结构
漏洞趋势分析 漏洞趋势
彭博新闻社 新闻社
时间标签< 时间标签
自由软件基金会 软件基金会
验证数据搜索 验证数据
构建云端融合 云端融合
信任测量模型 信任测量
移动应用生成环境 应用生成环境
定量描述人类 描述人类
加速传统符号推理 符号推理
传值不确定性分析方法 不确定性分析方法
云存储价格战 价格战
实验证明体验模拟 体验模拟
多模态高分辨率掌纹识别算法 高分辨率掌纹识别算法
音频资源信息 音频资源
程序员编写代码 编写代码
基于链接分析 基于链接
并行计算实验室 计算实验室
判断异常模式 异常模式
基础研究领域应用 基础研究领域
保安防盗系统 防盗系统
多源数据配准融合建筑三维建模 融合建筑
三维几何体表示 几何体
表示输入集合 输入集合
内存数据缓存 数据缓存
重构新文科思维模式 文科思维模式
传感器收集信息 收集信息
群智融合事件脉络生成 事件脉络生成
媒体类型描述 类型描述
研究动态可扩展 动态可扩展
原子特征集合定义 原子特征集合
开放式智慧医疗决策支持系统架构 智慧医疗决策支持系统
材料属性构造元素 属性构造
理解社会多媒体计算 社会多媒体计算
带宽中能 中能
不同维度元素 维度元素
存内计算架构设计 存内计算架构
半结构数据挖掘服务 半结构数据挖掘
忆阻器型神经突触电路 神经突触电路
高光谱成像原理 光谱成像原理
处理交互对象实体 交互对象
自动化软件测子 测子
云仿真系统体系结构 仿真系统体系结构
数字签名算法设计与分析 数字签名算法设计
中国计算机事业蓬勃发展 中国计算机事业
脉冲神经网络的学习算法 脉冲神经网络的学习
时空轨迹数据挖掘 轨迹数据挖掘
中文词义标注评测集 评测集
资源描述框架文档搜索服务用户 资源描述框架文档搜索
超大规模分布式虚拟现实应用系统 分布式虚拟现实应用系统
大规模网络数据支持 大规模网络数据
终端能耗优化研究 终端能耗优化
卫星网络信息传输 网络信息传输
层次化类型体系 类型体系
附面层计算 附面层
BERT模型专项优化 专项优化
保护网络个人隐私 网络个人隐私
社交网络隐私保护 网络隐私保护
计算机配置环境 配置环境
自适应粒子群优化算法处理 算法处理
业务集成框架 业务集成
网络智能化实例 网络智能化
应用成本高昂 应用成本
新一轮军事变革 军事变革
身体动作操控游戏 动作操控
搜索框架 搜索框
用户有效共享资源 用户有效
交互式搜索意图理解 搜索意图理解
中国病毒资源基础数据库 基础数据库
网络空间防御能力 空间防御
标准网络接入控制架构 网络接入控制架构
柔性化网络服务支撑平台体系结构 柔性化网络服务支撑平台
一体化检测系统 一体化检测
声卡发扬光大 发扬光大
会员服务过程 会员服务
中科院计算所团队分析 团队分析
生物体相互作用关系 生物体相互作用
区块链应用领域拓展区块链技术 区块链应用领域
构建植物基因调控网络模型 基因调控网络模型
协同应用层软件实体 应用层软件
量子计算复杂性理论模型 量子计算复杂性理论
慧眼识 慧眼
虚拟集群协同备份机制 备份机制
词性标注 词性
语义恢复分离 语义恢复
边界网关协议自治域互联 自治域
专用智能计算机系统 智能计算机系统
信息技术渗入可编程控制器 可编程控制
战争决策应用 决策应用
图神经网络加速芯片设计 图神经网络加速芯片
动态计算机核心技术 计算机核心技术
可重构异构多核结构 异构多核结构
漏洞特征智能识别 智能识别
开源大规模分布式机器学习系统 大规模分布式机器学习系统
多传感器融合算法感知检测 感知检测
数据传输延迟影响 数据传输延迟
可信运行平台 信运行平台
多部手机 部手机
视作监督分类 监督分类
收集反馈信息 收集反馈
计算检查点计算 计算检查点
合成战术训练系统 战术训练系统
知识提取自动 知识提取
验证签名有效 验证签名
频繁子树挖掘效率 频繁子树挖掘
高层次启发式方法 启发式方法
量子密钥分发实验 量子密钥分发
能够实现量子计算机原型机 能够实现量子计算
中国医师 医师
量子计算设备规模 量子计算设备
美国人工智能联合会 美国人工智能
对等计算搜索策略 对等计算搜索
一站式服务平台 一站式服务
有效数据总量 数据总量
场景绘制速度 绘制速度
存储系统层次化原理 层次化原理
数据采集与监控系统 数据采集与监控
核武库管理 核武库
物种名录数据 物种名录
日志分析组件 分析组件
现代服务业增加值 服务业增加值
授权密钥加密 授权密钥
描述植物体 描述植物
标准语料库建设 语料库建设
网络多尺度社区结构 多尺度社区结构
说话人识别系统性能 说话人识别系统
汽车电子信息化 电子信息化
音乐检索网站 音乐检索
制造微型全分析系统 微型全分析系统
并行机相继研制成功 相继研制成功
证明算法输出 算法输出
词频统计信息 词频统计
低收益组合型 收益组合型
鉴别码算法 鉴别码
汉字异体字输入 异体字
移动数据流量交易平台 移动数据流量
服务型经济 服务型
设计文件版本 文件版本
影响运行性能 影响运行
广义上下文环境 上下文环境
邻接矩阵形式 邻接矩阵
类脑计算比较简单 计算比较
地质调查应用网格框架 地质调查应用网格
彩色打印控制技术 彩色打印控制
网页木马检测 网页木马
虚拟专用局域网业务 虚拟专用局域网
中国地级市企业信息化服务 地级市
文献学习笔记 文献学习
量子点自旋量子比特编码 量子点自旋
高性能多核多线程微处理器 多核多线程微处理器
标注域名数据 域名数据
科研模式变革 科研模式
自动化风控建模 风控建模
电信管理网络 电信管理
智能人机接口评测 智能人机接口
词汇向量化表示 向量化表示
显示目视光学系统设计 目视光学系统
现代公共服务普及化 现代公共服务
滤波模型密码 滤波模型
Java虚拟机系统 虚拟机系统
神经处理单元 神经处理
组织软件过程大数据 组织软件
文本计算方法 文本计算
低延迟网络传输技术 低延迟网络传输
资源变量名 变量名
大规模社会网络挖掘 大规模社会网络
几十台计算机 几十台
高性能微处理器体系结构 高性能微处理器
智能信息处理系统 智能信息处理
中国高性能计算机产业规模 高性能计算机产业
服务群落 群落
人人网激活 人人网
数据安全和隐私保护 安全和隐私保护
实时可视化绘制 实时可视化
定义模型表达能力关系 模型表达能力
静态传感器感知 传感器感知
软硬件资源允许 资源允许
无服务器计算模式运行 服务器计算
网络信息导航服务 网络信息导航
多用户协同工作 用户协同工作
实测样本数据预测 据预测
关系型数据库管理系统 关系型数据库管理
机器学习加速器结构 机器学习加速器
查询词模式挖掘 查询词模式
增强现实场景构建 增强现实场景
全栈协同性能优化 协同性能
动态分组键盘 动态分组
群体学习特性 学习特性
影响系统性能 影响系统
在线翻译服务 在线翻译
攻击机理模型 攻击机理
心血管 心血
计算功耗预测增幅 计算功耗
开源细粒度可重构阵列 细粒度可重构阵列
情感分类模型描述 情感分类模型
国际开放竞争 开放竞争
合成语音情感表达 情感表达
深水钻井隔水管动力性能 动力性能
用户构建可重构服务承载网 用户构建
信息服务引擎 服务引擎
网络资源分配框架算法 网络资源分配
参与感知 参与感
中文阅读理解 中文阅读
新平台云计算 平台云
零点分解定理 分解定理
机器翻译研究重现 机器翻译研究
云计算机系统 云计算机
管理信息库 信息库
万维网数据源查询机制 万维网数据源
负责管理子链 子链
清华大学张长 张长
协同设计可信管理 可信管理
跨云计算迁移开销 跨云计算迁移
演化计算算子库首次 演化计算算子库
计算机模式识别 计算机模式
社会网络用户行为分析 社会网络用户
药品原材料采购 原材料采购
查询接口模式抽取 接口模式抽取
人脸定义图参数 定义图
现代构件框架 构件框架
临床生理生化数据 生理生化
学习价值函数 价值函数
大规模流数据集成系统 大规模流数据集成
企业研究院管理框架 企业研究院管理
数据维度数据探索 数据维度
万维网数据提取 数据提取
文博领域知识体系 文博领域
操作系统转移 系统转移
工程师思维 工程师思
作战加速转型 加速转型
提名奖威斯康星大学麦迪逊分校研究组 威斯康星大学麦迪逊分校
硬件资源视图 资源视图
协同安全系统架构 安全系统架构
汽车总线技术领域 总线技术领域
处理交互对象实体 对象实体
数据图搜索算法 图搜索算法
用户需求相对稳定 相对稳定
人工神经网络动力学研究 动力学研究
技术学科兴趣 学科兴趣
物理驱动模块传回 传回
作战系统仿真领域 作战系统仿真
物理泄露信息恢复神经网络参数 神经网络参数
中国多媒体领域 多媒体领域
测量量子比特电路 测量量子比特
人工社会系统 社会系统
拓宽Petri网活性 Petri网活性
视频透视式头盔显示器 视频透视
中国两岸三地 两岸三地
非负值 负值
表示测试向量 表示测试
动态视觉传感器研究团队 动态视觉传感器
待测代码块 代码块
复合指令集处理器 复合指令集
编码曝光通过设计 编码曝光
对话管理系统识别 对话管理系统
分布式人工智能演变 分布式人工智能
图兰阴影 图兰
百度统一分布式优化表示层 表示层
信息有效传播策略 信息有效
服务流程运行环境整体结构 服务流程运行环境
声学特征分析与建模 声学特征分析
社交多媒体计算 多媒体计算
物资供应信息 供应信息
多会员单位 多会员
路由交换范式构建安全可信网络 构建安全可信网络
交互式广告牌位置选取 广告牌位置
数据密集型应用程序系统 程序系统
非法信息流通 非法信息流
生物计算视角 计算视角
维护系统吞吐能力 吞吐能力
大数据有界查询评估框架 有界查询评估框架
语言理解与生成能力 生成能力
游戏机销售 游戏机
动态挖掘进程 动态挖掘
澳门大学 澳门
国产芯片首次 国产芯片
序列匹配运算 序列匹配
智能体社会学研究 社会学研究
网页爬虫 爬虫
嵌入水印信息 嵌入水印
协调网络资源 协调网络
冗余复制开销 冗余复制
模拟网络拓扑 模拟网络
智能网络运维系统 网络运维系统
超标量处理器结构 超标量处理器
空间几何加速结构 几何加速结构
高带宽低延迟通信 低延迟通信
计算机领域工程硕士专业学位标准 工程硕士专业学位
菲涅尔区反射模型应用 菲涅尔区反射模型
跨媒体排序学习 跨媒体排序
构型团体治疗 构型团体
分类器集合均方误差 分类器集合
场合感应系统过程 场合感应系统
数字化资源深度 数字化资源
服务注册机制 注册机制
非易失性逻辑器件 非易失性逻辑
局部异常行为检测 异常行为检测
云网盘系统 云网盘
结构信息定义 信息定义
路径时间图 时间图
非参数化贝叶斯方法 非参数化
时装电路板技术实现 时装电路板
分布式移动对象数据管理 移动对象数据管理
解码实质结构 实质结构
掌控产业生态链 产业生态链
存储能力异构 能力异构
重视高层语义信息 高层语义信息
轻量级保护域 保护域
集中式平台技术 集中式平台
流式大数据实时智能处理 流式大数据
群众基础 群众
频率分层存储 分层存储
大规模AI应用 大规模AI
领域框架平台 框架平台
转型家用机 家用机
网络安全技术能为云平台 能为云平台
计算体系结构分析方法 体系结构分析方法
自动驾驶汽车控制器开发 控制器开发
终端用户维护激光打印机 激光打印机
企业信息化领域 信息化领域
分层控制能力 分层控制
天线资源分配 天线资源
信息系统运行安全评估服务 运行安全
对等网络协作机制原理 对等网络协作机制
用户信息偏好挖掘 用户信息偏好
老年人生活智能辅助 老年人生活
聚类网络结构能为 聚类网络
终端控制权争夺 控制权争夺
可解释机器学习平台 可解释机器学习
云计算基础设施服务开源项目 服务开源项目
互联网文化大数据 文化大数据
同时检测比特 同时检测
美国计算机市场 计算机市场
数字对象接口 对象接口
移位寄存器初态未知 初态未知
管理多边形 多边形
组合群论 群论
分布式无线协议 无线协议
准确预测药物晶型 准确预测
国际性趋势 国际
社会网络结构演化机制 网络结构演化
可扩展容错量子计算 容错量子计算
构建金融知识图谱 金融知识图谱
群智资源投入任务处理 群智资源
应用时序逻辑公式表示系统 公式表示
数据一致性评估 一致性评估
淘系端智能团队 淘系端
非对称式密码 对称式密码
现代处理器多核技术 现代处理器
服务业增加值 增加值
存储集群技术 存储集群
李航博士 李航
新冠肺炎疫情防控阻击战 新冠肺炎疫情防控
集成公共安全领域 公共安全领域
事故复审方法论 事故复审
表演语音 表演
职业网络安全研究人员 安全研究人员
多服务器平台 服务器平台
多层感知器算法 多层感知器
无线网络嵌入式系统 网络嵌入式系统
本征分解乘性模型 乘性
链上代码模式 链上代码
线性合胞体模型 合胞体
智能安全运营技术方案 智能安全运营
双钥密码算法 双钥
理性分析能力 理性分析
计算技术收集隐式反馈信息可穿戴计算技术 可穿戴计算技术
粒度虚拟化模型 粒度虚拟化
交易隐私保护技术 交易隐私保护
量子态迭加原理 量子态迭
网络节点流表项 流表项
总体性能发展趋势图 总体性能发展趋势
硬件特性未能 硬件特性
构建计算机领域 构建计算机
无人化作战平台发展路线图 无人化作战平台
超大规模媒体存储系统 超大规模媒体存储
移动对象预测查询 预测查询
电话机旁 电话机
应用研究大数据知识工程基础理论 大数据知识工程基础理论
量子签名算法 量子签名
同行业机构 行业机构
AI专用硬件 专用硬件
数据生成机理 生成机理
试错馈改 馈改
GPS数据流抽取 GPS数据流
动态可变步长位图压缩算法 动态可变步长
虚拟IP网络 虚拟I
量子密码实验研究 码实验
主存储器控制器 存储器控制器
软件测试产业 测试产业
用户体感行为识别 用户体感行为
网络领域应用机器学习方法 应用机器学习方法
制约虚拟机应用 虚拟机应用
硅谷人工智能实验室 人工智能实验室
城市建筑快速建模系统 城市建筑快速建模
概念框架下定义 概念框架
经济实体转变成高附加值产品 附加值
帕累托稳定机制 稳定机制
计算机中文文献数据库 文献数据库
时序卷积自编码器 卷积自编码器
群体情绪认知 情绪认知
实体匹配任务设计 实体匹配
可信计算技术应用 可信计算技术
因果连接词 因果连接
社团改革试验田 试验田
虚拟现实技术军事领域应用 军事领域应用
电子密码本 密码本
驾驶行为动作 行为动作
虚拟机远程磁盘缓存机制 远程磁盘缓存
维持粒子密度 粒子密度
物理规则定义 物理规则
几句话阐明 几句话
人脸识别 人脸识
龙芯处理器抗辐照 抗辐照
肺癌外科手术治疗 肺癌外科手术
时空数据实时查询 时空数据实时
流量特征感知 特征感知
深度三维物体检测模型 物体检测模型
感应元件置入体积 感应元件
DNA生物传感器系统 DNA生物传感器
未知蠕虫攻击 蠕虫攻击
神经消息通信算法 消息通信算法
期刊专刊 专刊
计算密集型算法 密集型算法
汇文文献信息服务系统 文献信息服务
语义网应用开发环境 语义网应用
凯文卡恩 卡恩
智能城市操作系统 城市操作系统
量子电导 电导
分布式容错备份系统架构 分布式容错
私钥密码算法 私钥密码
双向盲审机制 双向盲审
负责协同组合私有云服务 协同组合
触觉录音机 录音机
部分盲签名 盲签名
现代软件工程方法 现代软件工程
电量资源 电量
无监督机器翻译系统 无监督机器翻译
视作分布式知识库 分布式知识库
无线移动应用数据流 应用数据流
自动纠错方法应用 自动纠错方法
有效融合设计师 有效融合
软件过程度量模型 软件过程度量
自动驾驶系统 驾驶系统
标签集合 标签集
丘奇兰德 丘奇
情境状态空间 情境状态
机器翻译平行语料库 平行语料库
网络虚拟世界安全 虚拟世界安全
监视统计模块负责监视 监视统计
缓存服务生成 缓存服务
高效动画智能制作 智能制作
谱特征提取示例 谱特征提取
世界军事革命 军事革命
性能预测框架 预测框架
可编程逻辑控制器 可编程逻辑
南通国家级市域治理现代化标杆 市域治理现代化
少数民族语言资源库 少数民族语言资源
科学家预测集成电路 科学家预测
鲁棒性水印保护版权信息数字作品 鲁棒性水印
德国莱布尼兹社会科学研究所 科学研究所
动态形成路由路径 路由路径
无人化作战平台 作战平台
无线传感网络产业发展 无线传感网络产业
开放资源标识 开放资源
显式非线性有限元方法 非线性有限元方法
全息信息存储 全息信息
分析预测系统性能特征 预测系统性能
计算经济学领域 经济学领域
基因表达谱分析 表达谱
非物质文化遗产虚拟体验系统 非物质
