识别领域 语音识别领域
漫游 虚拟漫游体验
表 多发表文章
老年人 老年人智能生活
内部网 微软企业内部网试用
处理 处理跨语言
语言信息处理模型 信息处理模型
统计 统计情绪词频
查询处理技术 时空查询处理技术
内涵 软件可信性内涵
并行计算系统 分布式并行计算系统
安全 安全理论和方法
中国大陆作者 称号
平台可信 平台可信特征
康奈尔大学 康奈尔大学计算机科学
计算系统工程 计算系统
发展趋势 天地网发展趋势
行为大数据 行为大数据内容服务
体系结构 应用程序可配置体系结构
大数据专家委员会 大数据
数据分析系统 图数据分析系统
控制装置 程序控制装置操纵
形式 政治形式
自主协同 软件服务自主协同
制造企业 制造企业协同运行模型
产出 领域产出
高昂 支付高昂
表 指令表达
处理过程统一 统一
控制机 虚拟机域间隔离控制机制
科学家推荐 青年科学家推荐
他云服务提供者查询 云服务
条数 关系条数
网络运维系统 智能网络运维系统
高性能服务器 高性能服务器集群
仿神经 模仿神经系统
多端网络拓扑关系模型 网络拓扑关系
决策效率 影响决策效率
称号 领路人
身份隐私攻击 隐私攻击
终端存储能力 终端
通常 无线多媒体传感器网络通常
编程 可编程电路
人脑 认知人脑信号
人工智能 人工智能规划
模块 规划模块
民用航空 中国民用航空
评论 本刊评论
新冠疫情防控 AI助力新冠疫情防控
物理 物理实时信息采集
逻辑实现 可重构逻辑实现
媒体 海量媒体数据
算法 数据梯度算法
时延 搜索时延
大学 科罗拉多矿业大学
交通拥堵 大规模交通拥堵
多核 层次化可重构多核结构
强度 加密强度
真实场景 静态真实场景画面
收集原始数据 数据
量子点自旋量子比特编码 量子点自旋
系统虚拟化 系统虚拟化实现方式
参数 系统参数生成算法
水印能量攻击 水印能量
取证 取证调查
失效 预测失效
管理系统 虚拟产品全生命周期管理系统
存储权衡攻击 权衡
物联网工程 北京邮电大学物联网工程专业
传感器 身份识别传感器
定理证明 阿贡定理证明小组
无线传感网络 无线传感网络应用示范系统
交互行为引导 交互
记录数据 记录数据元素
网格计算 网格计算协作
允许 状态配置机制允许主机
运营 统一运营
通信 通信性质
发展趋势 汽车网络发展趋势
文章 拷贝文章
通信模 通信模式交织
数据 信道传递数据
多学科 多学科前沿
信息 调控信息实时输入
非线性规划 非线性规划方程
解法 机器学习解法
国家 国家自然科学基金重点项目
数据共享效率 数据
语义 语义相似性计算方法
资源 虚拟计算资源
模态 网络模态
梯度 梯度幅值
工程师 服务工程师
规则 行业规则
语义综合集成 语义
通用语言 通用语言表示
中国计算机科学家 称号
视觉检索 视觉检索性能
引擎 通信业务引擎
许可系统 许可系统实现去中心化
图形加速器 现代图形加速器
社交网 社交网络结构
定性 不确定性模式映射
查询 查询处理原型系统
参数 样本最优参数
医疗 医疗设备系统
创业 创业成果
姿态 载体姿态
分布式容错备份系统架构 分布式容错
机器学习 机器学习计算机
处理 网内处理
机构组织 北京邮电大学信息安全中心
数据库 实验数据库
三网融合 三网融合技术路线
实体 城市大规模实体可视化建模
分析领域 大规模数据分析领域
计算机技术工程硕士研究生 计算机技术工程
数据库 中国科学院科学数据库
分布式端到端型机制 型机制
个性化药物 个性化药物设计
物联网体系 物联网体系结构
动画 辅助工具自动生成动画
软件运行 应用软件运行
数据 解析度地理数据
数学领域 大程度
方向 精确性
基础网络 基础网络设施
自动 自动内容生产
AI技术 高效利用AI技术处理网络大数据
加速器 数据中心加速器
计算性能 高效计算性能
加速器 异构多核加速器芯片
充分 充分应用
数据分析 数据分析系统
多机器 多机器人
程序开发者 称号
状态 状态公理
属性隐私保护 属性隐私
航海领域仿真 航海领域仿真研究现状
组织 美国组织
计算机资源 计算机资源管理
监督学习 非监督学习
移动情境感知 移动情境感知特征
服务 多租户服务
时钟 时钟消耗
测试 测试机器
嵌入式软件堆栈 软件堆栈
嵌入式系统设计 网络化嵌入式系统设计
数据安全与隐私 数据
日志挖掘 用户日志挖掘
多媒体 多媒体数据资源
IT服务 IT服务成本透明化
可穿戴计算系统 分布式架构可穿戴计算系统
密码破解 分布式密码破解测试密码强度
注入 检测信号注入
查询词 查询词相
数据库查询 万维网数据库查询接口
计算应用 能力计算应用
链路 阻挡无线链路
交互操作 用户交互操作
消减 兴趣消减
控制器 体感控制器
武器 增强武器系统完整性检测
存储控制器 集成存储控制器
热点 能耗热点
事件提取 时间事件提取
验证 用户验证
卷积 应用卷积网络
语义传感器网络定义 网络定义
异构链路信息综合接入技术 异构链路信息综合
视觉搜索系统 视觉搜索
计算环境 用户接入计算环境
多核多线程集成式CPU芯片 多核多线程集成式CPU芯片实现技术
计算平台 分布式计算平台基础
性质 计算性质
图灵奖 图灵奖溯源
指标 推荐系统指标
经济分析模型 软件生产线经济分析模型
学习 学习新概念
诊断 发作性睡病诊断
称号 勒索软件编写者
生成 生成精度
度量 构建质量度量
检测器 维护检测器
算机 心系计算机情系计算机
数据安全和隐私保护 安全和隐私保护
竞争 竞争信道
开源 开源力量
表 量化表示
交互式草图 草图
表 表示图像
专用网络 重构企业专用网络
表 表示动态结构模型
称号 数据挖掘工作者
指令 指令架构
控制器 运算控制器
资源 网络时代学术资源共享
可视化 可视化阅读能力
机理 运行机理
神经网络结构设计 神经网络结构设计自动化
光谱 空间调制成像傅里叶变换光谱仪
编辑 编辑处理
高效修复算子 修复算子
新版标准 标准
识别 有害信息识别
社会事务处理能力 能力
安全研究者 称号
实例 实例模型-模型
自然语言对话 自然语言对话系统
基因芯片数据分析 基因芯片
计算环境 可重构容错并行计算环境
移动数据 移动数据存储
用户 用户需求规约
理解社会多媒体计算 社会多媒体计算
比例 比例债务
软件攻击 恶意软件攻击
系统领域 控制系统领域
算机 计算机存储层次结构
自动抽取 自动抽取平行句
机制 改进机制
线程 软件线程
计算系统 群体计算系统
分类模型 分类模型应用
研究员 徐志伟研究员
人工智能 人工智能之争人工智能之争
专利信息数据 数据
型物端 型物端计算
学科 积极心理学
GPS数据流抽取 GPS数据流
微软公司可信计算 可信计算
模拟混合电路 数字模拟混合电路规则
数据 数据历史管理
服务器架构 万维网服务器架构
程数 可编程数据中心网络
位置服务 位置服务系统
领域 电子邮件领域
推荐系统 基于内容的推荐系统
演进 演进统计
视觉 视觉单词倒排索引架构
数据集 数据集样本
传感网 可穿戴传感网络
重叠 重叠I
界面 笔交互界面开发
调度 大规模调度
屏蔽网络 屏蔽网络服务技术细节
计算机体系结构角度 计算机体系结构
周期谱特征参数 周期谱
可信 输出可信
基础软硬件 基础软硬件环境
传感器 传感器网络路由性能
业务服务搭建应用 业务服务
离散 离散输入
程序数据 数据
工程 智能合约工程
算机 优化计算机
通常 通常网页
方向 技术性
图像 基于图像的绘制
互联网 互联网络构建
图形 关系代数图形处理器编译器
现实应用 现实应用场景
观点 观点角度
数据编码方案 数据
向量 颜色聚合向量
安全 安全性测试
等价 跟踪等价
情感 情感合成
自动扫描 自动扫描场景
传输网 实时传输网络
物理 识别心理物理实验
测试虚拟机管理器 测试
本地安装软件 软件
自治化服务质量框架系统结构 自治化服务质量框架系统
有限 有限集合
咨询 高性能计算咨询专家委员会
博弈论 计算博弈论
感知 感知系统平行
真实环境 跟踪真实环境
交互式并发 交互式
组织 计算机企业参与组织实施
调用序列 待测系统调用序列
扩展 扩展编译
自然语言处理通常 自然语言处理
计算机学习 利用计算机学习临床信息
汉盲 汉盲双向翻译
可视化工具 网络可视化工具
产业链 实时竞价市场产业链
机构组织 互联网云中心
通信 监控网络异常通信
安全扫描 安全扫描技术安全扫描
预测数据 数据
语义数据 语义数据库
可扩展规模 规模
上下文 上下文模式
快照 快照类型
通信 系统协同通信
存储器 存储器总线
计算系统 对等计算系统
芯片 积极探索芯片
互联网 互联网搜索日志数据挖掘
万维网信息 万维网信息可信性研究体系
方向 超参化
收集数据 收集数据的质量
生物信息 生物信息提取
集成 集成I
结构性数据 结构性数据结构
道路车辆交通领域 交通领域
物理泄露信息恢复神经网络参数 神经网络参数
查询数据 查询数据探测流感
可信 可信控制
网络互联 网络互联信息平面
方向 试验性
模型实例库 实例库
时间 时间描述
大学 谈论世界一流大学
课题 计算课题
指标 下列指标
指令 行驶指令
计算模块 可信计算模块
图像 图像信号叠加
函数插值方法 函数插值
多模态 图多模态信息
残差 滞后残差
封闭性检测算法 测算
乔治亚理工学院 乔治亚理工学院计算学院
演示奖 演示
条件 故障条件
网页木马检测 网页木马
模型 经济分析模型
用户 用户信息管理
键盘布局 动态键盘布局优化
在线 在线迭代
赋予 赋予芯片技术迭代
编程语言 高级编程语言
语言资源库 少数民族语言资源库
词汇 词汇知识库
锁屏密码 由锁屏密码
系统运行 动态系统运行
中文 中文用户行为
高性能 系统高性能
维护 维护开销
密码 密码委员会
总量 网络通讯总量
观点分析评测 分析评测
开源数据库 开源
开放 标准开放
处理器 高性能处理器
电话 电话机
美国物理学家 称号
环境监测 环境监测网络拓扑
基础设施 科学基础设施相互配合
异构信息网 空间异构信息网
产业链 重构计算机产业链
关键字竞价 关键字竞价计算
轻量 轻量高效神经网络结构
算法 离线训练算法
社区媒体信息传播机制 社区媒体信息
网络空间防御能力 空间防御
分析用户 系统分析用户行为
非结构化 非结构化剪枝
摄影师 高级摄影师
网络 小型网络
样本量 样本量有限
定量 肺功能定量评估系统
多核嵌入式处理器设计技术 式处理
编程 试图构建可编程
输入 修正输入
群智协同行为 群智协同行为分析
积累 实践经验积累
共享库 共享库代码
数据 应用数据
通路 人脑视觉通路
带宽 存储器带宽
有界查询 有界查询评估框架
资源利用效率 网络资源利用效率
架构 架构加速
许可机制 动态许可机制
参数 辨识系统参数
应用 应用切入点
实验室 仿真实验室
大规模数据分析领域 分析领域
椭圆曲线密码系统 椭圆曲线密码系统参数设置
图计算 构图计算网页排名
虚拟 虚拟演习
学科 精神病学
代码 代码缓冲技术
模拟 科学技术模拟虚拟
图形 图形技术专委会
纵向扩展 处理器纵向扩展评估系统
量表 分量表
虚拟机 虚拟机通信场景
现代服务 现代服务业技术规范
式存储 分散式存储系统
环境模型 运行环境模型
应用 应用实施模式
方向 可检测性
场景计算机 场景计算机技术框架
操作系统 操作系统原理
数据 数据冗余信息
比例尺 投影比例尺
无人机 无人机技术
概括 构建概括
领域语义 领域语义特征
基础 能力基础
知识提取自动 知识提取
系统结构 系统结构特征
物联网数据流量 物联网
咨询 营销计算咨询服务
数据 测试激励数据
产业 互联网服务产业化
对象信息 对象信息抽取
掌纹 掌纹线轮廓
不同类型 不同类型数据
称号 糖尿病患者
固态存储器 固态存储器研究现状
时间 时间槽
模型 虚拟集群网络性能模型评估虚拟集群
电视 时移电视
加速引擎 基础加速引擎
算法 盲汉翻译算法
气象预报数据 数据
接入点 网络接入点
投影显示器 显示器
方向 涌现性
网络 网络防御策略
课程 服务科学课程
互联网 互联网数据的质量
数据 数据中心功耗
方向 增强系统稳定性
学科 自学
参数向量排序 排序
自治化网络 自治化网络体系架构
能量 能量消耗分析
新接入点 搜索新接入点
中心服务器 数据中心服务器
装置 眼动跟踪装置
关系 关系网
协议 闪联基础协议
协同学习 多智能体协同学习
点对点 移动点对点结构
软件 软件调度
动作 习惯性动作
时间 时间仿真
通用 Petri网通用
研究院主管 微软亚洲研究院主管
资源 科研资源
宇宙线数据预处理 宇宙线
矩阵 约化密度矩阵
安全 安全扫描
发展方向 计算发展方向
相似度 空间相似度
通知路径选择 通知路径选择服务
构建能力 动态构建能力
对偶队列 无阻塞对偶队列
云计算 云计算领域
自主研发 中国自主研发
生命 软件全生命周期
资源 信息样本资源
国产EDA软件 国产EDA软件熊猫系统研发
失效恢复 本地化失效恢复
软件工具 专家系统软件工具
机床 精密机床
教育 融合现代教育理念
安全 网络虚拟化安全
通信 网络通信建模
机构组织 超级计算广州中心
汇文文献信息服务系统 文献信息服务
图神经网络 应用图神经网络
内存吞吐速度 吞吐
密码 密码可靠性测试
会员条例 中国计算机学会会员条例
营销 社交媒体营销
满意度 本刊满意度
消费者 消费者市场需求
艺术学院 美国科学与艺术学院
投票 用户投票推荐
军事 军事决策领域
总线 源同步总线
神经网络 神经网络推理
文件传输数据 数据
符号知识 符号知识表达
无线移动应用数据流 应用数据流
算法 感知算法
存储视频文件数量 存储视频
汽车厂商 汽车厂商软件设计
任务规划 分布式作战任务规划
模型 室内空间模型
分析与设计 面向对象分析与设计
心理 受害者心理影响
文件 消除文件
学员 学员培训
组织 基础设施组织结构运行
音频 感知战场环境音频
密集型数据 数据
网络化软件 网络化软件复杂性度量
安全性分析 安全性分析比较
模型 三维模型编辑工作
开发 刻录机开发工作
多通道信息 通道信息
加速 疫情加速
学习编程 深度学习编程框架
抽取 抽取结构化
物理攻击信号 物理攻击信号影响传感器
受控 受控状态
数据 新数据
图灵奖 图灵奖获得者蒂姆
新闻 新闻信息
局部可解释模型通常通过设计 局部可解释模型
数字城市以数据为中心 数据
组织 计算资源组织
引导 引导注意
评审 首轮评审
质量控制 质量控制标准
安全子层 安全子层标准时
共享服务 测评共享服务
中国医师 医师
服务提供商 管理服务提供商
时域 音频时域
计算行为构造成本函数 成本函数
映射 群体映射
高效率低成本 低成本
语言技术研究 中国语言技术研究
称号 硬件开发者
数据 数据处理能力
前期 工业化前期
机构组织 软件中心
网络 分束式网络
云 构建端边云协同
表 表示人脸
大数据行业 大数据
硬件设施 硬件设施分解
影响软件生命力 生命力
函数 椭圆函数
通信 无线传感器网络通信子系统
低成本硬件 低成本
定位技术 直接法定位技术
高阶认知能力 能力
数据感知 数据
算法科学家 称号
处理模块 安全处理模块
向量 标注向量
用户信任云平台 云平台
量表 情感量表
集合 集合验证
助力 IT技术助力疫情防控
互联网信息服务质量 互联网信息服务
算法 算法定义
万维网 万维网服务接口
统一 宽带业务统一
增强大鼠机器人 视听觉增强大鼠机器人
云计算基础设施服务 开源云计算基础设施服务
用户屏蔽 行业用户屏蔽分析技术
流程化运营 流程
虚拟现实 阻碍虚拟现实
神经网络 神经网络芯片
协议设计 协议设计与实现
扩展教师 教师
管理性能 性能
几何加速结构 空间几何加速结构
工业领域产品和服务全生命周期数据 数据
辅助决策能力 能力
开发者修复软件缺陷 软件缺陷
片段类型 类型
认知应用 加速认知应用
公司 公司内部运行
体系结构 物联网体系结构
防御 防御攻击
版本 衍生版本
压缩算法 动态可变步长位图压缩算法
中国科学家 称号
接入点网络部署 网络
医疗健康数据系统 数据
方向 计算节点相似性
协同设计 硬件协同设计验证
拓扑 拓扑角度
时空数据区域查询 时空
在线自适应决策 在线自适应决策技术
量子 连续变量量子信息
可视设备 可视设备构建
边缘计算技术 人工智能赋能边缘计算技术
知识发现 位置知识发现
他云服务提供者查询 查询
模型推理 机器学习模型推理
语义的讨论会 语义
雷曼软件演化定律 软件演化定律
调试器程序 运行调试器程序
基础 基础管理能力
固态存储介质扩展动态随机存储器 动态随机存储器
结果评价 多尺度地图综合结果评价服务
方向 均衡化
测试 生成测试用例
模拟人脑 模拟人脑思维过程
大数据分析效能 大数据
预测 预测相互作用
情境感知电子学习软件基础平台 基础平台
模型与算法 上下文感知多媒体推荐模型与算法
音质 合成音质
撰文指出 撰文
概率 计算概率
普适服务 普适服务层
交互式智能 交互式
海量文本数据 数据
搜索用户 网络搜索用户
终端 异构终端
计算系统标准化 计算系统
监控器 监控器保护示意图
传感器 矢量传感器
画像 学习过程画像
个性化服务 用户个性化服务
硬件平台 虚拟硬件平台
双向盲审 双向盲审机制
资源 资源可编程体系结构
计算 过度计算
物联网 领域应用开发模块物联网应用系统
数据权 数据权利
用户 软件用户
资源 自治系统网络资源
边界网关协议自治域互联 网关
理解数据 中文阅读理解数据集
操作 裁剪操作
汉语 汉语拼音
会员民主选举 会员
产出 短期效益产出
感知 构建标准化服务感知
数据 读取共享库数据
并发 可恢复并发对象
安全关键系统 安全关键系统软件开发
自由空间量子密钥分配 自由空间量子密钥分配系统
群智 群智任务设计
控制领域 一体化控制领域
融合增强 多感觉融合增强
实体 实体操作函数
学科 气象学
描述 描述需求分析
通讯 通讯范式
安全保护 关键信息基础设施安全保护
互联网 互联网信息监管
信息 融合非结构信息
广义 广义适应性学习
超级计算研究投入 超级计算
操作语义表示 语义
信任机制 P2P网络信任机制
行业 工业控制行业
网络 网络虚拟存储系统
高维 高维局部二值模式
准确诊断 诊断
准确预测 准确预测药物晶型
武器 多武器
网页 网页排级
多传感器 多传感器网络协议
无线网 无线网络环境
硬盘 硬盘资源
模型 多核学习模型
内容分发 路侧单元内容分发
分布式异构 分布式异构计算
思维形式化 形式
协同设计系统 图形化协同设计系统
务实 德国人比较务实
数据云分析 数据
领域扩展 军事决策领域扩展
定期 定期查询
双线性迪菲-赫尔曼 双线性迪菲-赫尔曼计算
物理 物理进程相互影响
通信 通信加密
不同类型聚类分析算法 分析算法
编程学习 在线编程学习
算机 计算机网络领域
系统性能分析 操作系统性能分析
采集器并行机制 并行机
能量 限制能量
核心技术 关键核心技术
异构众核 异构众核调试
管控 高效管控
学科 免疫学
补给品 搬运补给品
计算纳什均衡 有效计算纳什均衡
对话 虚拟对话
社会 社会主体协作
应用开发人员 网格应用开发人员
结构化数据 半结构化数据模型
检测 自动故障检测
语言 语言专用
演进 融合演进
黑产关键词语义的基础 黑产
型应用 效能模型应用
高性能 高性能模拟计算
可追溯 可追溯安全
结构 科研结构
网络拓扑结构 构建网络拓扑结构
公司 再有初创公司
身体动作操控游戏 动作操控
云 云身份空间
相匹配 并行性相匹配
无线传感器 无线传感器监控网络结构
能力 攻防技术能力
预期 数据集预期
扩散 抑制谣言传播扩散
学科 半导体科学
迭代编译优化 迭代
监督 半监督
人类 反映人类
情境 智能辅助环境情境本体建模
服务器 原型服务器
方向 情境化
交易 远期交易
视图定义 视图定义语言
有效 有效引导策略
数据 数据中心水冷系统
算法 可信性评估算法基准测试
实验 实验成果
网络操作 无线传感器网络操作
模型 异步模型
技术路线 可行性技术路线
监测预警技术 传染病疫情监测预警技术
应用程序数据 程序数据
开放车辆 开放车辆认证平台
兴趣 观看兴趣
标准 电子投票标准
互联网 互联网基础软件
本体论 本体论研讨会
大数据安全 大数据安全和隐私
序列模体数据库 序列模体数据库搜索
车道线检测 实时车道线检测
速度 收敛速度分析
服务型经济 服务型
时空 动态时空演化
降噪自编码器 降噪自编码器学习单语语言模型
软件技术 世界软件技术
中机 计算中机计算
数据科学 数据科学基于数据
深度融合 生产活动深度融合
标签化 网络标签化
构建高性能计算云 构建高性能
控制器 汽车微控制器
息化 信息化进程
倍数 倍数频率
智能体协作 多智能体协作框架
生活 学术生活
操作系统 操作系统出货量猛增
数据流动 数据流动渠道
方向 可信任性
厂商 厂商自行定义
图形 图形平台
程控 分布式过程控制系统可编程逻辑控制器
时效 时效奖
信息隐藏 信息隐藏加密
平台 标定平台
压缩 压缩程序压缩程序
水平 回归趋势水平
会员 失效会员
频谱 移动通信频谱
行业 期刊行业
信号输入类脑计算 信号
相匹配 机构相匹配
可编程网络实验平台设计 异构可编程网络实验平台设计
数据输入 数据输入流
向量 模式向量
充分融合 充分融合可解释人工智能
深度学习 深度学习框架
总线 存储器总线
模型 性能预测分析模型
相机 输出相机
数字权利管理数字音乐作品 作品
智慧医疗 智慧医疗决策支持系统
助力 助力安全
适应性 适应性操作
配套 配套软件环境
聚类和分类 查询词聚类和分类
异构计算 分布式异构计算
应用程序 管理应用程序接口
业务应用计算平台 业务应用
安全 无线安全加密
存储技术 网络化存储技术
信息 收集网络运行信息
监督 监督委员会
现代操作系统基本功能 现代操作系统
知识库 分布式知识库
存储计算 深度学习存储计算加速
百度美国研究院 百度
算法 算法解决问题
集群 集群配置
资源 多学术资源
群智协同 群智
编程环境 图形处理器通用编程环境
设施 远端通讯设施
实例 基于实例特征
万维网 万维网页面
安全 中国网络空间安全
场合感应计算 场合感应
气象 气象模拟
端口 端口竞争
端融合 端融合技术
资源抽象 计算资源抽象
行业企业 行业企业信息系统
观点 资料观点
安全监控 城市交通安全监控
分布式 分布式开销
军事 环境军事理论
无线传感器网络拓扑图 网络拓扑图
软件 用户软件
量化效率 向量化效率
算力 算力资源
远程 远程攻击
方向 时新性
路由器 合并外部路由器
中国科学院 中国科学院计算中心
数字 数字克隆
开源软件资产 集成开源软件资产
软件 软件积木式
外存模型 外存
高性能多核微处理器 高性能多核微处理器主流产品
模板模型对子流程 流程
用户 用户历史记录
检索能力 能力
集成思维 集成
奉献给 奉献给社会
不同类型 挖掘不同类型
共享数据服务抽象 服务抽象
智能体系 平行智能体系
方向 均衡化
物理模型表示 物理
总体 网络总体角度
大数据聚类分析 数据聚类
互联网 互联网信息处理应用系统
方法研究 方法研究科学问题
开源 自动驾驶开源模拟器仿真框架
测试 表示测试
虚拟机 一台虚拟机
中文期刊 中文期刊特色分析
多模态情感 多模态情感分析
海量分子数据 数据
生物 现阶段生物芯片
修订版 理事会选举条例修订版
数据密集型 数据密集型应用集成
数据挖掘 图数据挖掘
数字 无线数字业务网
图像 图像质量评估
生物类群DNA条码数据库 数据库
方向 普适性
社交网 理解社交网络
特性 轻量特性
规范化 规范化交互
信息服务 电子信息服务
游戏 游戏教师
积累 积累用户
矢量 矢量工程图
应用 应用探索性仿真实验
浏览器 用户浏览器
管控 管控设备
重点 重点研究内容
位置服务 表明位置服务
算法 通过设计节能算法调度数据中心
算机 协作增强计算机
操作 抽象操作
高级会员 中国计算机学会高级会员
天线对位置 天线对
完整性度量 度量
智能手机 智能手机软键盘
高性能软件 高性能软件开发
推理 多推理
概率 条件概率密度传播
神经网络模拟 脉冲神经网络模拟人脑
艺术人文学科 人文学科
软件 客户定制软件
算机 计算机国际象棋
引擎 静态分析引擎
人类 人类转录组
状态 计算状态
数据 语言数据
关系 关系映射
老年人 老年人情绪
计算机系统 计算机系统实验基础
控制器 模型观察控制器模式
泛化学习 泛化学习能力
方向 适应性
算机 计算机学报
集群 集群式扩展
模型 角色元模型
浏览器 浏览器本地
环境数据 工业环境数据采集
算法 算法优先
慧眼 慧眼识
全息术 全息术立体显示
能源 能源采集
业务流 感知业务流混合调度
文件 受害者文件
流程 流程工厂设计软件
深度神经网络算法 深度神经网络算法直接映射
称号 数学家
节能型 节能型计算
交互 技术系统交互作用隐喻
自主网络 定义自主网络
协调网络资源 有效协调网络资源
比较 比较智能
程序库 标准程序库
互联网服务基础设施 互联网服务基础设施平台
光线 光线传感器
时间 资源准备时间
知识产权 中国知识产权
算法 芯片测试算法
搜索 输入搜索
国家 中国国家网格环境
链路层 链路层加密技术
推荐数据 数据
终端服务器 移动终端服务器
噪声语音 非平稳噪声语音增强
集成演示 集成
高性能计算软件基础结构领域 高性能计算软件
图像处理领域 遥感图像处理领域
方向 决策合理性
内部环境 感知内部环境
教育 计算机技术领域培养
实数 实数表示
积分 电子积分
传感器 生理状态传感器
活化 数据活化
文献 科技文献
情境 模型表示情境
算法生成 启发式算法生成
交互式高效动画 交互式高效动画自动生成
网构软件可信性研究项目 可信性
计算 计算线路
参考 参考伯林
模型搜索 自动模型搜索
原语 优先原语
文法 乔姆斯基文法
装置 软件装置
互联网 互联网服务质量
特征化硬件环境 硬件环境
数据科学 应用数据科学论文
计算 计算相关研究
统一 统一软件控制
指令集 开放指令集
方向 保护网络属性
终端体系结构 边缘终端体系结构
时空精准耦合城市数据 耦合
方向 交互式
安全 安全漏洞挖掘
大数据 大数据学术研究
管理数据 名字服务管理数据存储
社会化搜索 社会化搜索引擎
背景 背景阿尔温德
数据 关键字竞价历史数据
电子系统控制机械系统 机械
判断 判断用户
学者 学者群体
密码 密码社会化应用
客户操作系统 修改客户操作系统
作业 作业计算量数量级
异构模型集成 模型集
动态异构多核 异构多核
保护层 数据安全与隐私保护层
存储融合 存储融合体系结构
威斯康星大学麦迪逊分校 提名奖威斯康星大学麦迪逊分校研究组
场景 信息不对称场景
顺序 顺序规划
图像 高光谱图像空间信息及谱间信息
查询 查询感知
观看 观看历史
趋势 网络攻击趋势
处理器平台 机器人智能处理器平台
选项 选项集合
性能分析 程序性能分析
人才 青年计算机科技人才
方向 双面性
软件系统 关键性软件系统
云原生应用 云原生
现代 现代社会治理格局
编码 编码概念信息
演绎 演绎进化
边界网关协议路由 边界网关协议路由器
武器 大规模杀伤性武器局
线程模型 非对称线程模型
物品 物品数量
遥感探测数据 数据
通信 低延迟通信
数据 数据流
自由软件基金会 软件基金会
统一视图 视图
挖掘 挖掘地标
硬件 硬件构建语言
处理器 处理器调度
结构显示软件 显示
光谱数据立方体 数据
维系会员 会员
群体智能 群体智能感知
计算数据 云计算数据安全
元素 语义元素
资源 优质虚拟实验资源共享
模块 子模块
特性 特性模型
云数据 点云数据生成
互联网 高度重视卫星互联网
方向 技巧性
基准测试集 智能处理器基准测试集
计算机市场 美国计算机市场
软件形态 新软件形态
指数 指数速度
方向 非功能性
世界软件产业现状及趋势分析 世界软件产业现状
程序库 标准程序库
美国人工智能联合会 人工智能联合
应用语义 语义
服务流程运行环境 流程
弹性 弹性MapReduce计算服务
防盗系统 保安防盗系统
中国计算机 中国计算机行业
网络 网络布控成本
公司 供公司
数据管理 内存数据管理系统
分布式图计算 分布式图计算平台
社会计算所 社会
客户 大规模客户群体
模型 种群动态模型
融合 融合演进
移动社交网 移动社交网络大数据
元数据 元数据信息
方向 重要性
标识 语义内容标识
判决 完备性判决
行为模式 移动行为模式
网络结构 聚类网络结构能为
搜索 对象搜索
安全理论大数据 大数据
视频 源视频
实体静态排名 静态排名
服务业 现代服务业发展趋势
娱乐 游戏娱乐
隐含 隐含交互
算法 自动建模算法
端融合 端融合运行平台
总量 存储总量
监控 监控质量
语法 有效语法
中文信息学会 中国中文信息学会联合
硬件 人机交互硬件
教育 教育投入缺口
位置服务应用 移动位置服务应用
群体协同 群体协同制造
潜心钻研 博士研究生潜心钻研
视频 动态视频
处理器 国产处理器
网络环境感知 社会网络环境感知
信息基础设施 欧盟信息基础设施咨询工作组
服务提供商 IT服务提供商
传感器 方向传感器
收集数据 收集数据的质量
数学领域 识别率
系统基础 Linux操作系统基础
导航系统 信息导航系统
伊尔 沙伊尔
传感器技术 基因传感器技术
水印音频 计算水印音频
云服务基础平台规模 服务基础
云虚拟化系统安全监控 虚拟化系统安全
计算设备 穿戴计算设备
看电影 电影
概率 语言模型概率评估
缓存 片上缓存
网络安全秩序 安全秩序
改进 改进工艺
受控 嵌入受控器件
迁移 多域数据迁移
教育 信息人才培养
资源 情感补偿资源推荐
方向 感知方向
赋能 角色形象赋能
应用程序 应用程序组件
方向 实操性
延迟容忍算法设计 延迟容忍算法
云 安全云
行驶 控制系统行驶
机械 复杂机械结构
故障模型 软件故障模型
算子 局部化算子
专题研讨会 云数据管理专题研讨会
接口 设备驱动接口
虚拟机监控器安全 虚拟机监控器安全可信
预测 预测人类历史
用户 用户集合
噪声 盲文图像采集噪声
架构 架构搭建
工程 中国科学院创新工程
数据库 文献数据库
图计算 异构图计算机
统一文件视图 文件视图
称号 应聘者
通常 软件解析系统通常
文化遗产数据应用 博物馆文化遗产数据应用
数量 基线算法数量
器件 异构器件
电视 推行有线电视数字化
临床 构建临床数据中心
前端 前端应用
语言模型 语言模型学习
图像 眼底图像预测心血管危险因素
议论 垃圾议论
图计算性能 多线程扩展技术提升图计算性能
运算符号 运算
量子计算 量子计算特征
翻译系统 机器翻译系统
服务 高效服务
构型团体治疗 构型团体
数字化转型 数字化转型新形势下
安全 汽车安全分析
方向 时间性
表 多哈希表
授权密钥 授权密钥加密
取证 移动系统取证
实体 云实体
安全公司 网络安全公司
忆阻器 忆阻器型神经突触电路
观测 观测并发程序
端口 端口竞争
改善 改善城市交通
语义覆盖范围 语义
系统化 系统化服务设计方法
处理器 通用处理器性价比
大数据 开放大数据
大规模图像数据集构建 图像数据集
应用 优化应用能耗
云计算技术 云计算技术体系结构
互联网 互联网软件产品
内存 内存动态调配机制
车辆 车辆局域网络
变革性调整 调整
网站 知识网站
网络链路预测 链路预测
会议 大会组织委员会成员
云计算操作系统 操作系统
声源 比较声源
流程改进决策 流程
模型 版本模型
